Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
50.0,3,14.0,2,3.0,3.0,4.0,1,5,1,0.0,21796.0,Company Invited,Large Business,Male,Deluxe,Divorced,Manager
35.0,1,15.0,3,2.0,3.0,4.0,0,3,0,2.0,23082.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
41.0,1,11.0,3,4.0,5.0,7.0,0,3,0,1.0,17107.0,Company Invited,Salaried,Male,Basic,Married,Executive
27.0,3,14.0,2,3.0,4.0,2.0,0,2,0,0.0,21214.0,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
33.0,1,9.0,2,3.0,3.0,2.0,1,5,1,1.0,17909.0,Company Invited,Salaried,Female,Basic,Divorced,Executive
35.0,1,9.0,3,5.0,5.0,3.0,0,1,1,1.0,23059.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
35.0,1,15.0,3,4.0,5.0,5.0,0,5,1,1.0,23799.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
46.0,1,9.0,4,5.0,3.0,3.0,0,3,1,1.0,20952.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
56.0,3,9.0,3,4.0,3.0,6.0,0,1,1,1.0,23838.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
31.0,2,8.0,3,4.0,5.0,4.0,0,3,0,2.0,21410.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
46.0,1,9.0,3,5.0,3.0,3.0,0,4,1,2.0,24448.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
40.0,3,12.0,3,4.0,3.0,5.0,0,2,0,2.0,20764.0,Self Enquiry,Large Business,Male,Deluxe,Divorced,Manager
20.0,3,8.0,2,4.0,3.0,2.0,0,4,1,0.0,17044.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
43.0,1,8.0,3,1.0,3.0,2.0,0,1,1,2.0,17645.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
33.0,1,36.0,4,4.0,3.0,2.0,0,3,1,1.0,22703.0,Company Invited,Small Business,Female,Basic,Single,Executive
31.0,3,9.0,4,4.0,4.0,3.0,0,3,1,1.0,21154.0,Self Enquiry,Large Business,Male,Basic,Married,Executive
37.0,1,25.0,2,3.0,3.0,4.0,0,1,0,0.0,20768.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
59.0,1,8.0,3,4.0,3.0,4.0,1,5,1,0.0,28726.0,Self Enquiry,Salaried,Female,Super Deluxe,Single,AVP
41.0,2,6.0,2,4.0,3.0,2.0,0,1,1,1.0,34189.0,Self Enquiry,Salaried,Male,King,Married,VP
42.0,3,15.0,3,4.0,4.0,7.0,0,3,1,2.0,23071.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
26.0,1,10.0,4,4.0,5.0,7.0,0,5,1,2.0,22709.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
46.0,1,6.0,2,3.0,3.0,1.0,0,5,1,0.0,34627.0,Self Enquiry,Small Business,Male,King,Married,VP
37.0,1,6.0,2,3.0,3.0,2.0,0,2,1,1.0,17115.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
37.0,3,18.0,4,5.0,3.0,6.0,0,1,1,2.0,25330.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
36.0,1,17.0,3,4.0,3.0,3.0,0,5,1,1.0,22595.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
35.0,1,31.0,2,3.0,3.0,2.0,1,3,0,1.0,25388.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
30.0,1,22.0,4,6.0,3.0,2.0,1,5,1,1.0,20846.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
45.0,1,7.0,3,4.0,4.0,3.0,1,3,1,2.0,21020.0,Company Invited,Small Business,Male,Basic,Married,Executive
37.0,1,13.0,3,4.0,4.0,8.0,0,4,0,2.0,23619.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
35.0,3,17.0,3,4.0,3.0,3.0,1,1,0,2.0,20898.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
39.0,2,9.0,2,1.0,4.0,1.0,0,1,0,0.0,21389.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
38.0,1,6.0,3,3.0,5.0,2.0,0,4,1,1.0,28582.0,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
40.0,1,16.0,2,2.0,3.0,4.0,1,3,0,1.0,17213.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
40.0,1,16.0,3,4.0,5.0,3.0,0,4,1,1.0,23829.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
44.0,3,7.0,2,5.0,4.0,7.0,0,3,0,1.0,17362.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
30.0,1,7.0,3,5.0,5.0,3.0,1,2,0,1.0,20997.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
33.0,1,9.0,3,5.0,5.0,6.0,0,4,0,2.0,20854.0,Self Enquiry,Large Business,Male,Deluxe,Single,Manager
28.0,1,24.0,3,4.0,4.0,2.0,1,4,1,1.0,21736.0,Self Enquiry,Large Business,Male,Basic,Divorced,Executive
30.0,3,11.0,2,3.0,3.0,3.0,0,4,1,1.0,24419.0,Self Enquiry,Salaried,Female,Standard,Divorced,Senior Manager
27.0,3,7.0,3,5.0,5.0,3.0,0,3,1,2.0,22972.0,Company Invited,Small Business,Male,Deluxe,Single,Manager
34.0,3,15.0,3,5.0,3.0,2.0,0,1,0,2.0,21020.0,Company Invited,Salaried,Female,Basic,Single,Executive
19.0,3,12.0,4,4.0,4.0,3.0,1,4,1,3.0,20556.0,Company Invited,Small Business,Male,Basic,Single,Executive
29.0,1,24.0,4,4.0,5.0,3.0,0,1,0,2.0,23236.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
36.0,3,10.0,4,4.0,3.0,8.0,0,5,0,3.0,26501.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
52.0,1,18.0,3,5.0,4.0,5.0,0,1,0,2.0,31820.0,Self Enquiry,Large Business,Female,Super Deluxe,Single,AVP
42.0,3,6.0,1,3.0,3.0,2.0,0,3,1,0.0,19907.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
54.0,3,9.0,3,5.0,4.0,4.0,0,1,1,1.0,26203.0,Company Invited,Small Business,Female,Standard,Married,Senior Manager
26.0,1,12.0,3,3.0,3.0,2.0,1,1,0,1.0,17659.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
37.0,1,6.0,2,4.0,3.0,2.0,0,2,1,1.0,21474.0,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
