Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
31.0,1,17.0,2,3.0,3.0,4.0,1,3,1,1.0,17356.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
38.0,1,18.0,4,6.0,4.0,7.0,0,4,1,1.0,23455.0,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
28.0,1,13.0,3,5.0,3.0,3.0,0,2,1,2.0,21217.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
37.0,1,20.0,3,3.0,5.0,2.0,0,4,1,0.0,18034.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
46.0,3,27.0,3,4.0,3.0,2.0,0,1,1,1.0,23528.0,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
28.0,1,14.0,2,4.0,4.0,2.0,0,4,0,1.0,17154.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
41.0,1,9.0,3,2.0,4.0,3.0,0,3,0,2.0,22922.0,Company Invited,Small Business,Female,Deluxe,Divorced,Manager
45.0,3,8.0,3,6.0,4.0,8.0,0,3,0,2.0,21040.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
39.0,1,9.0,3,5.0,3.0,5.0,1,5,1,2.0,26434.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
24.0,1,13.0,4,2.0,5.0,3.0,1,3,0,1.0,20279.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
48.0,3,21.0,3,4.0,5.0,4.0,0,2,0,2.0,23638.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
37.0,3,15.0,3,3.0,4.0,2.0,0,1,1,2.0,23834.0,Company Invited,Small Business,Male,Standard,Married,Senior Manager
38.0,1,9.0,4,5.0,3.0,8.0,1,3,0,1.0,20768.0,Self Enquiry,Freelancer,Male,Basic,Single,Executive
31.0,3,11.0,2,3.0,4.0,2.0,0,3,0,0.0,17789.0,Company Invited,Small Business,Female,Basic,Married,Executive
33.0,3,6.0,2,1.0,5.0,3.0,0,3,0,1.0,20376.0,Company Invited,Salaried,Female,Deluxe,Married,Manager
43.0,1,36.0,4,4.0,3.0,4.0,0,3,1,2.0,23234.0,Company Invited,Salaried,Female,Deluxe,Married,Manager
38.0,3,6.0,2,4.0,3.0,5.0,0,1,0,1.0,23686.0,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
48.0,1,21.0,3,3.0,3.0,2.0,0,3,0,0.0,33265.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
44.0,1,23.0,3,5.0,3.0,3.0,0,4,1,0.0,17290.0,Company Invited,Salaried,Male,Basic,Single,Executive
47.0,1,25.0,3,4.0,3.0,4.0,0,5,0,1.0,23488.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
52.0,1,16.0,4,4.0,3.0,5.0,0,3,1,1.0,20753.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
60.0,3,22.0,2,3.0,5.0,1.0,0,4,1,0.0,20405.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
49.0,1,13.0,2,4.0,3.0,1.0,0,2,1,1.0,25965.0,Self Enquiry,Salaried,Male,Standard,Single,Senior Manager
30.0,1,15.0,3,3.0,5.0,2.0,0,1,1,1.0,18072.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
47.0,1,7.0,4,4.0,5.0,2.0,0,1,0,3.0,28074.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
34.0,3,27.0,3,1.0,3.0,2.0,0,3,0,0.0,20337.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
43.0,1,33.0,3,4.0,5.0,5.0,1,3,0,1.0,31869.0,Company Invited,Small Business,Female,Standard,Married,Senior Manager
36.0,1,24.0,3,3.0,3.0,2.0,0,3,1,2.0,17153.0,Company Invited,Small Business,Female,Basic,Single,Executive
54.0,1,13.0,3,4.0,3.0,4.0,0,5,1,1.0,21128.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
43.0,1,36.0,4,4.0,4.0,3.0,0,3,1,2.0,23112.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
34.0,1,15.0,4,4.0,3.0,4.0,1,3,0,3.0,25066.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
37.0,1,10.0,3,4.0,4.0,3.0,0,3,1,2.0,22370.0,Company Invited,Large Business,Male,Basic,Divorced,Executive
33.0,1,6.0,3,4.0,5.0,4.0,1,4,1,1.0,17799.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
35.0,1,15.0,4,4.0,3.0,5.0,0,4,0,2.0,24820.0,Self Enquiry,Small Business,Female,Deluxe,Single,Manager
32.0,1,30.0,3,3.0,3.0,2.0,0,4,1,0.0,20309.0,Company Invited,Salaried,Male,Deluxe,Divorced,Manager
38.0,1,7.0,4,4.0,4.0,8.0,0,1,1,3.0,25125.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
44.0,1,34.0,3,4.0,5.0,2.0,0,4,0,1.0,29498.0,Company Invited,Salaried,Female,Standard,Divorced,Senior Manager
47.0,1,8.0,2,3.0,3.0,4.0,0,5,1,0.0,32169.0,Self Enquiry,Small Business,Female,Super Deluxe,Divorced,AVP
56.0,1,13.0,2,5.0,3.0,5.0,0,1,0,0.0,22260.0,Self Enquiry,Salaried,Male,Standard,Single,Senior Manager
44.0,1,6.0,2,3.0,3.0,7.0,1,4,0,1.0,17436.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
31.0,1,15.0,4,2.0,5.0,2.0,1,2,0,3.0,30094.0,Self Enquiry,Salaried,Female,Standard,Divorced,Senior Manager
40.0,1,15.0,2,3.0,5.0,4.0,0,1,1,1.0,17018.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
28.0,1,14.0,3,5.0,5.0,2.0,0,3,1,1.0,25489.0,Self Enquiry,Small Business,Female,Deluxe,Single,Manager
31.0,1,9.0,4,4.0,4.0,3.0,0,3,0,1.0,30594.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
36.0,1,16.0,3,4.0,3.0,3.0,0,4,0,2.0,23776.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
