feature,importance
Passport,0.11234014
Designation_Executive,0.10547819
ProductPitched_Basic,0.07802992
MaritalStatus_Single,0.054164045
CityTier,0.0400579
Designation_VP,0.03760132
Occupation_Large Business,0.035479896
ProductPitched_Standard,0.030297395
PreferredPropertyStar,0.02948015
Designation_Senior Manager,0.028943345
NumberOfFollowups,0.027595509
Designation_AVP,0.027075808
ProductPitched_Deluxe,0.02484409
Age,0.024601687
DurationOfPitch,0.024150508
NumberOfTrips,0.023580378
TypeofContact_Self Enquiry,0.02352207
ProductPitched_Super Deluxe,0.022755371
PitchSatisfactionScore,0.022156265
Occupation_Small Business,0.021613099
MaritalStatus_Married,0.021053828
MaritalStatus_Divorced,0.020666433
Gender_Male,0.020624155
MonthlyIncome,0.02033101
TypeofContact_Company Invited,0.020133628
Designation_Manager,0.018990235
Gender_Female,0.018823704
Occupation_Salaried,0.016563218
OwnCar,0.015399094
NumberOfPersonVisiting,0.014312061
NumberOfChildrenVisiting,0.0110268565
ProductPitched_King,0.008308717
Occupation_Freelancer,0.0
